City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Vila Velha,BR,2022-01-20 22:44:28,-20.3297,-40.2925,80.55,82,75,3.0
139,Hithadhoo,MV,2022-01-20 22:47:35,-0.6,73.0833,81.7,74,100,6.24
140,Upernavik,GL,2022-01-20 22:47:35,72.7868,-56.1549,3.52,95,100,12.95
141,Gornyy,RU,2022-01-20 22:47:36,55.1153,83.9059,-8.97,100,82,2.86
142,The Valley,AI,2022-01-20 22:47:36,18.217,-63.0578,78.66,78,75,17.27
143,Ardabil,IR,2022-01-20 22:47:36,38.2498,48.2933,9.95,100,40,9.22
144,Umba,RU,2022-01-20 22:47:36,66.6871,34.3429,8.82,97,94,2.93
145,Kailua,US,2022-01-20 22:47:37,21.4022,-157.7394,80.65,75,0,5.75
146,Blagoyevo,RU,2022-01-20 22:47:37,63.3667,47.9167,25.14,93,100,9.37
147,Lincoln,US,2022-01-20 22:44:08,40.8,-96.667,19.15,40,0,1.01
148,Katangli,RU,2022-01-20 22:47:37,51.7102,143.2326,6.87,76,100,15.82
149,Yellowknife,CA,2022-01-20 22:46:47,62.456,-114.3525,-8.88,77,100,19.57
150,Tignere,CM,2022-01-20 22:47:38,7.3667,12.65,61.92,24,23,2.42
151,Lalsk,RU,2022-01-20 22:47:38,60.7415,47.5862,19.89,92,100,9.08
152,Sabang,ID,2022-01-20 22:47:38,5.8933,95.3214,79.9,74,33,2.89
153,Arman,RU,2022-01-20 22:47:38,59.7,150.1667,-4.94,75,13,6.71
154,Navirai,BR,2022-01-20 22:47:39,-23.065,-54.1906,81.81,52,83,4.47
155,Dingle,PH,2022-01-20 22:47:39,10.9995,122.6711,73.78,94,62,7.16
156,Tanabe,JP,2022-01-20 22:47:39,33.7333,135.3667,36.54,68,36,14.47
157,Tarut,SA,2022-01-20 22:47:40,26.5733,50.0369,60.78,41,0,29.08
158,Bonthe,SL,2022-01-20 22:47:40,7.5264,-12.505,78.78,81,85,7.36
159,Hailey,US,2022-01-20 22:47:40,43.5196,-114.3153,22.86,80,100,4.61
160,Kahului,US,2022-01-20 22:47:40,20.8947,-156.47,82.42,70,40,9.22
161,Cedar City,US,2022-01-20 22:47:41,37.6775,-113.0619,42.4,42,0,3.44
162,Butembo,CD,2022-01-20 22:47:41,0.15,29.2833,56.95,87,96,1.99
163,Colares,PT,2022-01-20 22:47:41,38.7992,-9.4469,54.9,47,0,1.99
164,Aasiaat,GL,2022-01-20 22:47:41,68.7098,-52.8699,16.52,76,100,21.83
165,Leningradskiy,RU,2022-01-20 22:47:42,69.3833,178.4167,-34.13,92,7,3.56
166,Fort Nelson,CA,2022-01-20 22:47:42,58.8053,-122.7002,2.79,78,100,14.97
167,Cabo San Lucas,MX,2022-01-20 22:47:42,22.8909,-109.9124,77.95,74,100,5.53
168,Barrow,US,2022-01-20 22:47:42,71.2906,-156.7887,-18.38,76,100,5.75
169,Umea,SE,2022-01-20 22:47:43,63.8284,20.2597,30.13,59,30,19.57
170,Foam Lake,CA,2022-01-20 22:43:11,51.65,-103.5343,8.62,79,87,16.28
171,Trat,TH,2022-01-20 22:47:43,12.5,102.5,81.99,92,50,2.01
172,Kreminna,UA,2022-01-20 22:47:43,49.0495,38.2179,26.02,88,96,13.94
173,Te Anau,NZ,2022-01-20 22:47:44,-45.4167,167.7167,60.57,62,57,2.89
174,Hasaki,JP,2022-01-20 22:47:44,35.7333,140.8333,28.8,49,1,19.93
175,Rafaela,AR,2022-01-20 22:47:44,-31.2503,-61.4867,87.57,53,40,0.92
